day,CA,FL,GA,IL,MO,TX
1,3,5,3,3,4,3
2,4,6,4,4,6,4
3,4,7,5,6,6,4
4,5,8,6,8,8,4
5,6,9,7,9,11,7
6,7,11,7,12,12,7
7,12,16,8,17,11,10
8,13,18,8,19,11,11
9,15,20,10,25,11,13
10,17,23,13,28,13,15
11,18,26,15,30,11,16
12,16,30,17,33,10,17
13,20,32,19,40,9,18
14,23,32,18,46,9,19
15,22,36,19,53,9,21
16,26,36,31,55,8,21
17,27,34,32,62,9,21
18,29,35,31,64,9,23
19,39,39,34,70,14,27
20,41,42,32,70,14,28
21,39,42,32,69,14,29
22,48,44,33,78,16,28
23,47,43,23,77,18,29
24,49,45,25,83,16,30
25,55,46,30,81,16,28
26,54,42,30,79,11,26
27,57,45,34,86,11,24
28,63,46,34,88,11,24
29,66,46,35,88,10,24
30,60,44,43,94,9,24
31,74,43,42,88,11,24
32,73,38,37,92,13,25
33,76,43,36,91,16,27
34,83,42,34,94,17,32
35,82,40,33,93,19,32
36,83,38,32,95,19,32
37,91,44,23,95,21,31
38,78,46,29,98,21,32
39,77,44,31,98,21,31
40,76,43,34,97,18,31
41,73,46,39,102,17,27
42,73,47,40,108,16,27
43,74,51,38,108,17,29
44,72,50,38,112,13,32
45,71,48,33,113,13,31
46,73,48,39,113,14,32
47,75,44,32,114,14,30
48,75,41,28,109,12,35
49,73,39,33,117,12,38
50,72,35,32,117,11,37
51,76,36,33,117,10,35
52,74,34,29,111,9,35
53,76,37,25,110,7,34
54,75,39,27,111,10,37
55,75,38,28,111,14,32
56,75,38,27,84,13,30
57,75,39,29,119,13,29
58,74,38,29,116,14,26
59,76,38,29,116,13,26
60,70,36,26,119,12,24
61,72,30,33,115,9,20
62,73,32,36,100,5,23
63,75,31,32,123,5,21
64,72,32,32,83,7,20
65,73,31,27,79,8,22
66,70,31,29,77,9,22
67,69,30,31,76,10,23
68,64,39,31,75,10,25
69,62,35,24,86,10,24
70,63,35,27,77,10,23
71,64,35,32,79,9,24
72,63,34,35,75,6,23
73,65,36,33,76,9,23
74,67,36,31,73,12,22
75,68,34,25,99,11,22
76,64,34,29,96,11,22
77,60,34,24,93,11,22
78,58,31,20,90,12,20
79,59,34,21,92,12,21
80,57,33,28,87,9,21
81,59,32,31,84,5,25
82,59,33,35,58,6,25
83,66,31,37,55,6,26
84,65,30,41,56,6,29
85,61,32,39,51,5,30
86,62,31,41,49,7,29
87,62,33,35,51,6,30
88,61,34,35,52,6,27
89,62,35,33,53,5,27
90,58,38,31,47,4,27
91,60,38,28,44,4,26
92,62,37,27,42,4,29
93,62,35,22,38,4,30
94,61,37,23,35,4,30
95,66,39,18,34,4,29
96,61,38,20,33,5,33
97,63,38,19,30,6,33
98,65,41,19,25,6,36
99,64,45,19,20,8,35
100,59,45,19,24,7,35
101,60,45,17,21,8,36
102,57,47,18,20,9,42
103,65,48,15,19,8,47
104,61,58,12,21,9,56
105,64,56,12,22,9,63
106,63,60,12,25,7,72
107,61,71,13,19,7,79
108,57,73,13,21,8,83
109,73,71,14,23,10,87
110,67,81,12,23,8,88
111,78,81,16,21,8,92
112,84,95,20,17,10,103
113,90,100,20,18,10,108
114,98,100,21,17,10,109
115,100,106,22,16,9,112
116,86,114,24,14,8,118
117,95,114,25,14,9,131
118,91,118,24,14,10,137
119,89,120,25,16,8,140
120,93,121,25,15,8,146
121,95,126,21,16,8,154
122,93,125,29,15,8,242
123,95,123,35,15,7,247
124,92,130,37,16,8,263
125,97,141,44,17,7,250
126,102,153,47,16,8,265
127,106,170,46,16,7,279
128,104,178,48,16,7,257
129,107,176,44,16,7,186
130,109,194,44,18,6,198
131,121,184,44,16,5,187
132,126,185,44,15,6,218
133,117,166,47,17,9,218
134,127,155,49,17,13,215
135,134,155,48,19,13,232
136,135,157,51,20,13,211
137,140,152,49,19,13,207
138,141,164,51,18,12,220
139,137,163,52,18,11,212
140,144,167,52,16,8,215
141,138,173,51,16,4,214
142,134,177,55,16,5,218
143,139,181,61,14,5,221
144,138,169,67,16,5,220
145,135,172,73,17,6,218
146,134,167,65,18,10,215
147,141,162,69,19,12,207
148,137,147,72,20,15,204
149,133,133,71,19,14,198
150,126,125,63,21,13,194
151,125,123,56,19,14,189
152,125,117,52,19,14,178
153,125,114,61,19,20,182
154,118,117,60,21,21,174
155,120,113,61,20,18,165
156,130,119,61,20,18,163
157,130,113,67,19,19,163
158,131,113,66,20,21,158
159,126,113,70,20,20,152
160,123,110,68,21,9,146
161,124,112,69,20,7,138
162,121,113,67,20,8,141
163,110,101,68,22,10,137
164,112,104,67,24,9,137
165,109,98,69,23,9,125
166,108,77,68,23,0,117
167,111,88,66,19,0,109
168,114,97,57,19,0,109
169,116,107,62,20,0,105
170,115,113,59,20,0,103
171,113,108,48,20,0,103
172,106,110,48,22,0,113
173,97,125,48,21,0,112
174,93,118,45,23,0,105
175,86,109,44,24,0,0
176,87,0,58,23,0,0
177,89,0,57,0,0,0
178,94,0,60,0,0,0
179,99,0,55,0,0,0
180,111,0,52,0,0,0
181,106,0,0,0,0,0
